Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
04 Almería;65 y más;% Extranjeros;Ambos sexos;2019;11,61
04 Almería;65 y más;% Extranjeros;Hombres;2019;13,39
04 Almería;65 y más;% Extranjeros;Mujeres;2019;10,15
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2019;331.549
01 Araba/Álava;TOTAL EDADES;TOTAL;Hombres;2019;163.499
01 Araba/Álava;TOTAL EDADES;TOTAL;Mujeres;2019;168.050
01 Araba/Álava;TOTAL EDADES;Españoles;Ambos sexos;2019;301.214
01 Araba/Álava;TOTAL EDADES;Españoles;Hombres;2019;148.011
01 Araba/Álava;TOTAL EDADES;Españoles;Mujeres;2019;153.203
01 Araba/Álava;TOTAL EDADES;Extranjeros;Ambos sexos;2019;30.335
01 Araba/Álava;TOTAL EDADES;Extranjeros;Hombres;2019;15.488
01 Araba/Álava;TOTAL EDADES;Extranjeros;Mujeres;2019;14.847
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;9,15
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Hombres;2019;9,47
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Mujeres;2019;8,83
01 Araba/Álava;0-15 años;TOTAL;Ambos sexos;2019;52.398
01 Araba/Álava;0-15 años;TOTAL;Hombres;2019;27.063
01 Araba/Álava;0-15 años;TOTAL;Mujeres;2019;25.335
01 Araba/Álava;0-15 años;Españoles;Ambos sexos;2019;46.343
01 Araba/Álava;0-15 años;Españoles;Hombres;2019;23.942
01 Araba/Álava;0-15 años;Españoles;Mujeres;2019;22.401
01 Araba/Álava;0-15 años;Extranjeros;Ambos sexos;2019;6.055
01 Araba/Álava;0-15 años;Extranjeros;Hombres;2019;3.121
01 Araba/Álava;0-15 años;Extranjeros;Mujeres;2019;2.934
01 Araba/Álava;0-15 años;% Extranjeros;Ambos sexos;2019;11,56
01 Araba/Álava;0-15 años;% Extranjeros;Hombres;2019;11,53
01 Araba/Álava;0-15 años;% Extranjeros;Mujeres;2019;11,58
01 Araba/Álava;16-64 años;TOTAL;Ambos sexos;2019;210.250
01 Araba/Álava;16-64 años;TOTAL;Hombres;2019;105.739
01 Araba/Álava;16-64 años;TOTAL;Mujeres;2019;104.511
01 Araba/Álava;16-64 años;Españoles;Ambos sexos;2019;186.718
01 Araba/Álava;16-64 años;Españoles;Hombres;2019;93.644
01 Araba/Álava;16-64 años;Españoles;Mujeres;2019;93.074
01 Araba/Álava;16-64 años;Extranjeros;Ambos sexos;2019;23.532
01 Araba/Álava;16-64 años;Extranjeros;Hombres;2019;12.095
01 Araba/Álava;16-64 años;Extranjeros;Mujeres;2019;11.437
01 Araba/Álava;16-64 años;% Extranjeros;Ambos sexos;2019;11,19
01 Araba/Álava;16-64 años;% Extranjeros;Hombres;2019;11,44
01 Araba/Álava;16-64 años;% Extranjeros;Mujeres;2019;10,94
01 Araba/Álava;65 y más;TOTAL;Ambos sexos;2019;68.901
01 Araba/Álava;65 y más;TOTAL;Hombres;2019;30.697
01 Araba/Álava;65 y más;TOTAL;Mujeres;2019;38.204
01 Araba/Álava;65 y más;Españoles;Ambos sexos;2019;68.153
01 Araba/Álava;65 y más;Españoles;Hombres;2019;30.425
01 Araba/Álava;65 y más;Españoles;Mujeres;2019;37.728
01 Araba/Álava;65 y más;Extranjeros;Ambos sexos;2019;748
01 Araba/Álava;65 y más;Extranjeros;Hombres;2019;272
01 Araba/Álava;65 y más;Extranjeros;Mujeres;2019;476
01 Araba/Álava;65 y más;% Extranjeros;Ambos sexos;2019;1,09
01 Araba/Álava;65 y más;% Extranjeros;Hombres;2019;0,89
01 Araba/Álava;65 y más;% Extranjeros;Mujeres;2019;1,25
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.022.800
33 Asturias;TOTAL EDADES;TOTAL;Hombres;2019;488.137
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2019;534.663
33 Asturias;TOTAL EDADES;Españoles;Ambos sexos;2019;981.174
33 Asturias;TOTAL EDADES;Españoles;Hombres;2019;468.801
33 Asturias;TOTAL EDADES;Españoles;Mujeres;2019;512.373
33 Asturias;TOTAL EDADES;Extranjeros;Ambos sexos;2019;41.626
33 Asturias;TOTAL EDADES;Extranjeros;Hombres;2019;19.336
33 Asturias;TOTAL EDADES;Extranjeros;Mujeres;2019;22.290
33 Asturias;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;4,07
33 Asturias;TOTAL EDADES;% Extranjeros;Hombres;2019;3,96
33 Asturias;TOTAL EDADES;% Extranjeros;Mujeres;2019;4,17
33 Asturias;0-15 años;TOTAL;Ambos sexos;2019;119.337
33 Asturias;0-15 años;TOTAL;Hombres;2019;61.311
33 Asturias;0-15 años;TOTAL;Mujeres;2019;58.026
33 Asturias;0-15 años;Españoles;Ambos sexos;2019;113.729
33 Asturias;0-15 años;Españoles;Hombres;2019;58.440
33 Asturias;0-15 años;Españoles;Mujeres;2019;55.289
33 Asturias;0-15 años;Extranjeros;Ambos sexos;2019;5.608
33 Asturias;0-15 años;Extranjeros;Hombres;2019;2.871
33 Asturias;0-15 años;Extranjeros;Mujeres;2019;2.737
33 Asturias;0-15 años;% Extranjeros;Ambos sexos;2019;4,70
33 Asturias;0-15 años;% Extranjeros;Hombres;2019;4,68
33 Asturias;0-15 años;% Extranjeros;Mujeres;2019;4,72
33 Asturias;16-64 años;TOTAL;Ambos sexos;2019;640.470
33 Asturias;16-64 años;TOTAL;Hombres;2019;317.155
33 Asturias;16-64 años;TOTAL;Mujeres;2019;323.315
33 Asturias;16-64 años;Españoles;Ambos sexos;2019;606.460
33 Asturias;16-64 años;Españoles;Hombres;2019;301.546
33 Asturias;16-64 años;Españoles;Mujeres;2019;304.914
33 Asturias;16-64 años;Extranjeros;Ambos sexos;2019;34.010
33 Asturias;16-64 años;Extranjeros;Hombres;2019;15.609
33 Asturias;16-64 años;Extranjeros;Mujeres;2019;18.401
33 Asturias;16-64 años;% Extranjeros;Ambos sexos;2019;5,31
33 Asturias;16-64 años;% Extranjeros;Hombres;2019;4,92
33 Asturias;16-64 años;% Extranjeros;Mujeres;2019;5,69
33 Asturias;65 y más;TOTAL;Ambos sexos;2019;262.993
33 Asturias;65 y más;TOTAL;Hombres;2019;109.671
33 Asturias;65 y más;TOTAL;Mujeres;2019;153.322
33 Asturias;65 y más;Españoles;Ambos sexos;2019;260.985
33 Asturias;65 y más;Españoles;Hombres;2019;108.815
33 Asturias;65 y más;Españoles;Mujeres;2019;152.170
33 Asturias;65 y más;Extranjeros;Ambos sexos;2019;2.008
33 Asturias;65 y más;Extranjeros;Hombres;2019;856
33 Asturias;65 y más;Extranjeros;Mujeres;2019;1.152
33 Asturias;65 y más;% Extranjeros;Ambos sexos;2019;0,76
33 Asturias;65 y más;% Extranjeros;Hombres;2019;0,78
33 Asturias;65 y más;% Extranjeros;Mujeres;2019;0,75
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2019;157.640
05 Ávila;TOTAL EDADES;TOTAL;Hombres;2019;79.071
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2019;78.569
05 Ávila;TOTAL EDADES;Españoles;Ambos sexos;2019;148.191
05 Ávila;TOTAL EDADES;Españoles;Hombres;2019;74.519
05 Ávila;TOTAL EDADES;Españoles;Mujeres;2019;73.672
05 Ávila;TOTAL EDADES;Extranjeros;Ambos sexos;2019;9.449
05 Ávila;TOTAL EDADES;Extranjeros;Hombres;2019;4.552
05 Ávila;TOTAL EDADES;Extranjeros;Mujeres;2019;4.897
05 Ávila;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;5,99
05 Ávila;TOTAL EDADES;% Extranjeros;Hombres;2019;5,76
05 Ávila;TOTAL EDADES;% Extranjeros;Mujeres;2019;6,23
05 Ávila;0-15 años;TOTAL;Ambos sexos;2019;20.042
05 Ávila;0-15 años;TOTAL;Hombres;2019;10.375
05 Ávila;0-15 años;TOTAL;Mujeres;2019;9.667
05 Ávila;0-15 años;Españoles;Ambos sexos;2019;18.140
05 Ávila;0-15 años;Españoles;Hombres;2019;9.387
05 Ávila;0-15 años;Españoles;Mujeres;2019;8.753
05 Ávila;0-15 años;Extranjeros;Ambos sexos;2019;1.902
05 Ávila;0-15 años;Extranjeros;Hombres;2019;988
05 Ávila;0-15 años;Extranjeros;Mujeres;2019;914
05 Ávila;0-15 años;% Extranjeros;Ambos sexos;2019;9,49
05 Ávila;0-15 años;% Extranjeros;Hombres;2019;9,52
05 Ávila;0-15 años;% Extranjeros;Mujeres;2019;9,45
05 Ávila;16-64 años;TOTAL;Ambos sexos;2019;96.568
05 Ávila;16-64 años;TOTAL;Hombres;2019;49.855
05 Ávila;16-64 años;TOTAL;Mujeres;2019;46.713
05 Ávila;16-64 años;Españoles;Ambos sexos;2019;89.347
05 Ávila;16-64 años;Españoles;Hombres;2019;46.432
05 Ávila;16-64 años;Españoles;Mujeres;2019;42.915
05 Ávila;16-64 años;Extranjeros;Ambos sexos;2019;7.221
05 Ávila;16-64 años;Extranjeros;Hombres;2019;3.423
05 Ávila;16-64 años;Extranjeros;Mujeres;2019;3.798
05 Ávila;16-64 años;% Extranjeros;Ambos sexos;2019;7,48
05 Ávila;16-64 años;% Extranjeros;Hombres;2019;6,87
05 Ávila;16-64 años;% Extranjeros;Mujeres;2019;8,13
05 Ávila;65 y más;TOTAL;Ambos sexos;2019;41.030
05 Ávila;65 y más;TOTAL;Hombres;2019;18.841
05 Ávila;65 y más;TOTAL;Mujeres;2019;22.189
05 Ávila;65 y más;Españoles;Ambos sexos;2019;40.704
05 Ávila;65 y más;Españoles;Hombres;2019;18.700
05 Ávila;65 y más;Españoles;Mujeres;2019;22.004
05 Ávila;65 y más;Extranjeros;Ambos sexos;2019;326
05 Ávila;65 y más;Extranjeros;Hombres;2019;141
05 Ávila;65 y más;Extranjeros;Mujeres;2019;185
05 Ávila;65 y más;% Extranjeros;Ambos sexos;2019;0,79
05 Ávila;65 y más;% Extranjeros;Hombres;2019;0,75
05 Ávila;65 y más;% Extranjeros;Mujeres;2019;0,83
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2019;673.559
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2019;333.112
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2019;340.447
06 Badajoz;TOTAL EDADES;Españoles;Ambos sexos;2019;654.100
06 Badajoz;TOTAL EDADES;Españoles;Hombres;2019;323.863
06 Badajoz;TOTAL EDADES;Españoles;Mujeres;2019;330.237
06 Badajoz;TOTAL EDADES;Extranjeros;Ambos sexos;2019;19.459
06 Badajoz;TOTAL EDADES;Extranjeros;Hombres;2019;9.249
06 Badajoz;TOTAL EDADES;Extranjeros;Mujeres;2019;10.210
06 Badajoz;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;2,89
06 Badajoz;TOTAL EDADES;% Extranjeros;Hombres;2019;2,78
06 Badajoz;TOTAL EDADES;% Extranjeros;Mujeres;2019;3,00
06 Badajoz;0-15 años;TOTAL;Ambos sexos;2019;103.329
06 Badajoz;0-15 años;TOTAL;Hombres;2019;53.048
06 Badajoz;0-15 años;TOTAL;Mujeres;2019;50.281
06 Badajoz;0-15 años;Españoles;Ambos sexos;2019;100.101
06 Badajoz;0-15 años;Españoles;Hombres;2019;51.393
06 Badajoz;0-15 años;Españoles;Mujeres;2019;48.708
06 Badajoz;0-15 años;Extranjeros;Ambos sexos;2019;3.228
06 Badajoz;0-15 años;Extranjeros;Hombres;2019;1.655
06 Badajoz;0-15 años;Extranjeros;Mujeres;2019;1.573
06 Badajoz;0-15 años;% Extranjeros;Ambos sexos;2019;3,12
06 Badajoz;0-15 años;% Extranjeros;Hombres;2019;3,12
06 Badajoz;0-15 años;% Extranjeros;Mujeres;2019;3,13
06 Badajoz;16-64 años;TOTAL;Ambos sexos;2019;439.464
06 Badajoz;16-64 años;TOTAL;Hombres;2019;222.754
06 Badajoz;16-64 años;TOTAL;Mujeres;2019;216.710
06 Badajoz;16-64 años;Españoles;Ambos sexos;2019;424.035
06 Badajoz;16-64 años;Españoles;Hombres;2019;215.536
06 Badajoz;16-64 años;Españoles;Mujeres;2019;208.499
06 Badajoz;16-64 años;Extranjeros;Ambos sexos;2019;15.429
06 Badajoz;16-64 años;Extranjeros;Hombres;2019;7.218
06 Badajoz;16-64 años;Extranjeros;Mujeres;2019;8.211
06 Badajoz;16-64 años;% Extranjeros;Ambos sexos;2019;3,51
06 Badajoz;16-64 años;% Extranjeros;Hombres;2019;3,24
06 Badajoz;16-64 años;% Extranjeros;Mujeres;2019;3,79
06 Badajoz;65 y más;TOTAL;Ambos sexos;2019;130.766
06 Badajoz;65 y más;TOTAL;Hombres;2019;57.310
06 Badajoz;65 y más;TOTAL;Mujeres;2019;73.456
06 Badajoz;65 y más;Españoles;Ambos sexos;2019;129.964
06 Badajoz;65 y más;Españoles;Hombres;2019;56.934
06 Badajoz;65 y más;Españoles;Mujeres;2019;73.030
06 Badajoz;65 y más;Extranjeros;Ambos sexos;2019;802
06 Badajoz;65 y más;Extranjeros;Hombres;2019;376
06 Badajoz;65 y más;Extranjeros;Mujeres;2019;426
06 Badajoz;65 y más;% Extranjeros;Ambos sexos;2019;0,61
06 Badajoz;65 y más;% Extranjeros;Hombres;2019;0,66
06 Badajoz;65 y más;% Extranjeros;Mujeres;2019;0,58
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.149.460
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2019;572.757
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2019;576.703
07 Balears, Illes;TOTAL EDADES;Españoles;Ambos sexos;2019;944.473
07 Balears, Illes;TOTAL EDADES;Españoles;Hombres;2019;469.551
07 Balears, Illes;TOTAL EDADES;Españoles;Mujeres;2019;474.922
07 Balears, Illes;TOTAL EDADES;Extranjeros;Ambos sexos;2019;204.987
