Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;16-64 años;% Extranjeros;Mujeres;2021;13,73
TOTAL ESPAÑA;65 y más;TOTAL;Ambos sexos;2021;9.310.828
TOTAL ESPAÑA;65 y más;TOTAL;Hombres;2021;4.033.045
TOTAL ESPAÑA;65 y más;TOTAL;Mujeres;2021;5.277.783
TOTAL ESPAÑA;65 y más;Españoles;Ambos sexos;2021;8.926.867
TOTAL ESPAÑA;65 y más;Españoles;Hombres;2021;3.853.721
TOTAL ESPAÑA;65 y más;Españoles;Mujeres;2021;5.073.146
TOTAL ESPAÑA;65 y más;Extranjeros;Ambos sexos;2021;383.961
TOTAL ESPAÑA;65 y más;Extranjeros;Hombres;2021;179.324
TOTAL ESPAÑA;65 y más;Extranjeros;Mujeres;2021;204.637
TOTAL ESPAÑA;65 y más;% Extranjeros;Ambos sexos;2021;4,12
TOTAL ESPAÑA;65 y más;% Extranjeros;Hombres;2021;4,45
TOTAL ESPAÑA;65 y más;% Extranjeros;Mujeres;2021;3,88
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2021;386.464
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2021;193.205
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2021;193.259
02 Albacete;TOTAL EDADES;Españoles;Ambos sexos;2021;359.665
02 Albacete;TOTAL EDADES;Españoles;Hombres;2021;178.751
02 Albacete;TOTAL EDADES;Españoles;Mujeres;2021;180.914
02 Albacete;TOTAL EDADES;Extranjeros;Ambos sexos;2021;26.799
02 Albacete;TOTAL EDADES;Extranjeros;Hombres;2021;14.454
02 Albacete;TOTAL EDADES;Extranjeros;Mujeres;2021;12.345
02 Albacete;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;6,93
02 Albacete;TOTAL EDADES;% Extranjeros;Hombres;2021;7,48
02 Albacete;TOTAL EDADES;% Extranjeros;Mujeres;2021;6,39
02 Albacete;0-15 años;TOTAL;Ambos sexos;2021;57.551
02 Albacete;0-15 años;TOTAL;Hombres;2021;29.756
02 Albacete;0-15 años;TOTAL;Mujeres;2021;27.795
02 Albacete;0-15 años;Españoles;Ambos sexos;2021;52.851
02 Albacete;0-15 años;Españoles;Hombres;2021;27.304
02 Albacete;0-15 años;Españoles;Mujeres;2021;25.547
02 Albacete;0-15 años;Extranjeros;Ambos sexos;2021;4.700
02 Albacete;0-15 años;Extranjeros;Hombres;2021;2.452
02 Albacete;0-15 años;Extranjeros;Mujeres;2021;2.248
02 Albacete;0-15 años;% Extranjeros;Ambos sexos;2021;8,17
02 Albacete;0-15 años;% Extranjeros;Hombres;2021;8,24
02 Albacete;0-15 años;% Extranjeros;Mujeres;2021;8,09
02 Albacete;16-64 años;TOTAL;Ambos sexos;2021;253.794
02 Albacete;16-64 años;TOTAL;Hombres;2021;129.994
02 Albacete;16-64 años;TOTAL;Mujeres;2021;123.800
02 Albacete;16-64 años;Españoles;Ambos sexos;2021;232.502
02 Albacete;16-64 años;Españoles;Hombres;2021;118.339
02 Albacete;16-64 años;Españoles;Mujeres;2021;114.163
02 Albacete;16-64 años;Extranjeros;Ambos sexos;2021;21.292
02 Albacete;16-64 años;Extranjeros;Hombres;2021;11.655
02 Albacete;16-64 años;Extranjeros;Mujeres;2021;9.637
02 Albacete;16-64 años;% Extranjeros;Ambos sexos;2021;8,39
02 Albacete;16-64 años;% Extranjeros;Hombres;2021;8,97
02 Albacete;16-64 años;% Extranjeros;Mujeres;2021;7,78
02 Albacete;65 y más;TOTAL;Ambos sexos;2021;75.119
02 Albacete;65 y más;TOTAL;Hombres;2021;33.455
02 Albacete;65 y más;TOTAL;Mujeres;2021;41.664
02 Albacete;65 y más;Españoles;Ambos sexos;2021;74.312
02 Albacete;65 y más;Españoles;Hombres;2021;33.108
02 Albacete;65 y más;Españoles;Mujeres;2021;41.204
02 Albacete;65 y más;Extranjeros;Ambos sexos;2021;807
02 Albacete;65 y más;Extranjeros;Hombres;2021;347
02 Albacete;65 y más;Extranjeros;Mujeres;2021;460
02 Albacete;65 y más;% Extranjeros;Ambos sexos;2021;1,07
02 Albacete;65 y más;% Extranjeros;Hombres;2021;1,04
02 Albacete;65 y más;% Extranjeros;Mujeres;2021;1,10
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.881.762
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2021;932.018
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2021;949.744
03 Alicante/Alacant;TOTAL EDADES;Españoles;Ambos sexos;2021;1.508.339
03 Alicante/Alacant;TOTAL EDADES;Españoles;Hombres;2021;743.764
03 Alicante/Alacant;TOTAL EDADES;Españoles;Mujeres;2021;764.575
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Ambos sexos;2021;373.423
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Hombres;2021;188.254
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Mujeres;2021;185.169
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;19,84
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Hombres;2021;20,20
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Mujeres;2021;19,50
03 Alicante/Alacant;0-15 años;TOTAL;Ambos sexos;2021;285.935
03 Alicante/Alacant;0-15 años;TOTAL;Hombres;2021;147.269
03 Alicante/Alacant;0-15 años;TOTAL;Mujeres;2021;138.666
03 Alicante/Alacant;0-15 años;Españoles;Ambos sexos;2021;235.777
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2021;121.579
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2021;114.198
03 Alicante/Alacant;0-15 años;Extranjeros;Ambos sexos;2021;50.158
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2021;25.690
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2021;24.468
03 Alicante/Alacant;0-15 años;% Extranjeros;Ambos sexos;2021;17,54
03 Alicante/Alacant;0-15 años;% Extranjeros;Hombres;2021;17,44
03 Alicante/Alacant;0-15 años;% Extranjeros;Mujeres;2021;17,65
03 Alicante/Alacant;16-64 años;TOTAL;Ambos sexos;2021;1.217.270
03 Alicante/Alacant;16-64 años;TOTAL;Hombres;2021;614.019
03 Alicante/Alacant;16-64 años;TOTAL;Mujeres;2021;603.251
03 Alicante/Alacant;16-64 años;Españoles;Ambos sexos;2021;970.925
03 Alicante/Alacant;16-64 años;Españoles;Hombres;2021;490.091
03 Alicante/Alacant;16-64 años;Españoles;Mujeres;2021;480.834
03 Alicante/Alacant;16-64 años;Extranjeros;Ambos sexos;2021;246.345
03 Alicante/Alacant;16-64 años;Extranjeros;Hombres;2021;123.928
03 Alicante/Alacant;16-64 años;Extranjeros;Mujeres;2021;122.417
03 Alicante/Alacant;16-64 años;% Extranjeros;Ambos sexos;2021;20,24
03 Alicante/Alacant;16-64 años;% Extranjeros;Hombres;2021;20,18
03 Alicante/Alacant;16-64 años;% Extranjeros;Mujeres;2021;20,29
03 Alicante/Alacant;65 y más;TOTAL;Ambos sexos;2021;378.557
03 Alicante/Alacant;65 y más;TOTAL;Hombres;2021;170.730
03 Alicante/Alacant;65 y más;TOTAL;Mujeres;2021;207.827
03 Alicante/Alacant;65 y más;Españoles;Ambos sexos;2021;301.637
03 Alicante/Alacant;65 y más;Españoles;Hombres;2021;132.094
03 Alicante/Alacant;65 y más;Españoles;Mujeres;2021;169.543
03 Alicante/Alacant;65 y más;Extranjeros;Ambos sexos;2021;76.920
03 Alicante/Alacant;65 y más;Extranjeros;Hombres;2021;38.636
03 Alicante/Alacant;65 y más;Extranjeros;Mujeres;2021;38.284
03 Alicante/Alacant;65 y más;% Extranjeros;Ambos sexos;2021;20,32
03 Alicante/Alacant;65 y más;% Extranjeros;Hombres;2021;22,63
03 Alicante/Alacant;65 y más;% Extranjeros;Mujeres;2021;18,42
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2021;731.792
04 Almería;TOTAL EDADES;TOTAL;Hombres;2021;373.136
04 Almería;TOTAL EDADES;TOTAL;Mujeres;2021;358.656
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2021;575.435
04 Almería;TOTAL EDADES;Españoles;Hombres;2021;285.561
04 Almería;TOTAL EDADES;Españoles;Mujeres;2021;289.874
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2021;156.357
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2021;87.575
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2021;68.782
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;21,37
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2021;23,47
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2021;19,18
04 Almería;0-15 años;TOTAL;Ambos sexos;2021;129.574
04 Almería;0-15 años;TOTAL;Hombres;2021;66.549
04 Almería;0-15 años;TOTAL;Mujeres;2021;63.025
04 Almería;0-15 años;Españoles;Ambos sexos;2021;101.793
04 Almería;0-15 años;Españoles;Hombres;2021;52.239
04 Almería;0-15 años;Españoles;Mujeres;2021;49.554
04 Almería;0-15 años;Extranjeros;Ambos sexos;2021;27.781
04 Almería;0-15 años;Extranjeros;Hombres;2021;14.310
04 Almería;0-15 años;Extranjeros;Mujeres;2021;13.471
04 Almería;0-15 años;% Extranjeros;Ambos sexos;2021;21,44
04 Almería;0-15 años;% Extranjeros;Hombres;2021;21,50
04 Almería;0-15 años;% Extranjeros;Mujeres;2021;21,37
04 Almería;16-64 años;TOTAL;Ambos sexos;2021;490.905
04 Almería;16-64 años;TOTAL;Hombres;2021;256.170
04 Almería;16-64 años;TOTAL;Mujeres;2021;234.735
04 Almería;16-64 años;Españoles;Ambos sexos;2021;376.183
04 Almería;16-64 años;Españoles;Hombres;2021;190.108
04 Almería;16-64 años;Españoles;Mujeres;2021;186.075
04 Almería;16-64 años;Extranjeros;Ambos sexos;2021;114.722
04 Almería;16-64 años;Extranjeros;Hombres;2021;66.062
04 Almería;16-64 años;Extranjeros;Mujeres;2021;48.660
04 Almería;16-64 años;% Extranjeros;Ambos sexos;2021;23,37
04 Almería;16-64 años;% Extranjeros;Hombres;2021;25,79
04 Almería;16-64 años;% Extranjeros;Mujeres;2021;20,73
04 Almería;65 y más;TOTAL;Ambos sexos;2021;111.313
04 Almería;65 y más;TOTAL;Hombres;2021;50.417
04 Almería;65 y más;TOTAL;Mujeres;2021;60.896
04 Almería;65 y más;Españoles;Ambos sexos;2021;97.459
04 Almería;65 y más;Españoles;Hombres;2021;43.214
04 Almería;65 y más;Españoles;Mujeres;2021;54.245
04 Almería;65 y más;Extranjeros;Ambos sexos;2021;13.854
04 Almería;65 y más;Extranjeros;Hombres;2021;7.203
04 Almería;65 y más;Extranjeros;Mujeres;2021;6.651
04 Almería;65 y más;% Extranjeros;Ambos sexos;2021;12,45
04 Almería;65 y más;% Extranjeros;Hombres;2021;14,29
04 Almería;65 y más;% Extranjeros;Mujeres;2021;10,92
01 Araba/Álava;TOTAL EDADES;TOTAL;Ambos sexos;2021;333.626
01 Araba/Álava;TOTAL EDADES;TOTAL;Hombres;2021;164.252
01 Araba/Álava;TOTAL EDADES;TOTAL;Mujeres;2021;169.374
01 Araba/Álava;TOTAL EDADES;Españoles;Ambos sexos;2021;301.197
01 Araba/Álava;TOTAL EDADES;Españoles;Hombres;2021;147.815
01 Araba/Álava;TOTAL EDADES;Españoles;Mujeres;2021;153.382
01 Araba/Álava;TOTAL EDADES;Extranjeros;Ambos sexos;2021;32.429
01 Araba/Álava;TOTAL EDADES;Extranjeros;Hombres;2021;16.437
01 Araba/Álava;TOTAL EDADES;Extranjeros;Mujeres;2021;15.992
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;9,72
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Hombres;2021;10,01
01 Araba/Álava;TOTAL EDADES;% Extranjeros;Mujeres;2021;9,44
01 Araba/Álava;0-15 años;TOTAL;Ambos sexos;2021;51.400
01 Araba/Álava;0-15 años;TOTAL;Hombres;2021;26.477
01 Araba/Álava;0-15 años;TOTAL;Mujeres;2021;24.923
01 Araba/Álava;0-15 años;Españoles;Ambos sexos;2021;45.355
01 Araba/Álava;0-15 años;Españoles;Hombres;2021;23.408
01 Araba/Álava;0-15 años;Españoles;Mujeres;2021;21.947
01 Araba/Álava;0-15 años;Extranjeros;Ambos sexos;2021;6.045
01 Araba/Álava;0-15 años;Extranjeros;Hombres;2021;3.069
01 Araba/Álava;0-15 años;Extranjeros;Mujeres;2021;2.976
01 Araba/Álava;0-15 años;% Extranjeros;Ambos sexos;2021;11,76
01 Araba/Álava;0-15 años;% Extranjeros;Hombres;2021;11,59
01 Araba/Álava;0-15 años;% Extranjeros;Mujeres;2021;11,94
01 Araba/Álava;16-64 años;TOTAL;Ambos sexos;2021;210.692
01 Araba/Álava;16-64 años;TOTAL;Hombres;2021;106.026
01 Araba/Álava;16-64 años;TOTAL;Mujeres;2021;104.666
01 Araba/Álava;16-64 años;Españoles;Ambos sexos;2021;185.262
01 Araba/Álava;16-64 años;Españoles;Hombres;2021;93.014
01 Araba/Álava;16-64 años;Españoles;Mujeres;2021;92.248
01 Araba/Álava;16-64 años;Extranjeros;Ambos sexos;2021;25.430
01 Araba/Álava;16-64 años;Extranjeros;Hombres;2021;13.012
01 Araba/Álava;16-64 años;Extranjeros;Mujeres;2021;12.418
01 Araba/Álava;16-64 años;% Extranjeros;Ambos sexos;2021;12,07
01 Araba/Álava;16-64 años;% Extranjeros;Hombres;2021;12,27
01 Araba/Álava;16-64 años;% Extranjeros;Mujeres;2021;11,86
01 Araba/Álava;65 y más;TOTAL;Ambos sexos;2021;71.534
01 Araba/Álava;65 y más;TOTAL;Hombres;2021;31.749
01 Araba/Álava;65 y más;TOTAL;Mujeres;2021;39.785
01 Araba/Álava;65 y más;Españoles;Ambos sexos;2021;70.580
01 Araba/Álava;65 y más;Españoles;Hombres;2021;31.393
01 Araba/Álava;65 y más;Españoles;Mujeres;2021;39.187
01 Araba/Álava;65 y más;Extranjeros;Ambos sexos;2021;954
01 Araba/Álava;65 y más;Extranjeros;Hombres;2021;356
01 Araba/Álava;65 y más;Extranjeros;Mujeres;2021;598
01 Araba/Álava;65 y más;% Extranjeros;Ambos sexos;2021;1,33
01 Araba/Álava;65 y más;% Extranjeros;Hombres;2021;1,12
01 Araba/Álava;65 y más;% Extranjeros;Mujeres;2021;1,50
33 Asturias;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.011.792
33 Asturias;TOTAL EDADES;TOTAL;Hombres;2021;482.665
33 Asturias;TOTAL EDADES;TOTAL;Mujeres;2021;529.127
33 Asturias;TOTAL EDADES;Españoles;Ambos sexos;2021;966.347
33 Asturias;TOTAL EDADES;Españoles;Hombres;2021;461.659
33 Asturias;TOTAL EDADES;Españoles;Mujeres;2021;504.688
33 Asturias;TOTAL EDADES;Extranjeros;Ambos sexos;2021;45.445
33 Asturias;TOTAL EDADES;Extranjeros;Hombres;2021;21.006
33 Asturias;TOTAL EDADES;Extranjeros;Mujeres;2021;24.439
33 Asturias;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;4,49
33 Asturias;TOTAL EDADES;% Extranjeros;Hombres;2021;4,35
33 Asturias;TOTAL EDADES;% Extranjeros;Mujeres;2021;4,62
33 Asturias;0-15 años;TOTAL;Ambos sexos;2021;115.112
33 Asturias;0-15 años;TOTAL;Hombres;2021;59.187
33 Asturias;0-15 años;TOTAL;Mujeres;2021;55.925
33 Asturias;0-15 años;Españoles;Ambos sexos;2021;109.099
33 Asturias;0-15 años;Españoles;Hombres;2021;56.108
33 Asturias;0-15 años;Españoles;Mujeres;2021;52.991
33 Asturias;0-15 años;Extranjeros;Ambos sexos;2021;6.013
33 Asturias;0-15 años;Extranjeros;Hombres;2021;3.079
33 Asturias;0-15 años;Extranjeros;Mujeres;2021;2.934
33 Asturias;0-15 años;% Extranjeros;Ambos sexos;2021;5,22
33 Asturias;0-15 años;% Extranjeros;Hombres;2021;5,20
33 Asturias;0-15 años;% Extranjeros;Mujeres;2021;5,25
33 Asturias;16-64 años;TOTAL;Ambos sexos;2021;627.841
33 Asturias;16-64 años;TOTAL;Hombres;2021;310.853
33 Asturias;16-64 años;TOTAL;Mujeres;2021;316.988
33 Asturias;16-64 años;Españoles;Ambos sexos;2021;590.890
33 Asturias;16-64 años;Españoles;Hombres;2021;293.967
33 Asturias;16-64 años;Españoles;Mujeres;2021;296.923
33 Asturias;16-64 años;Extranjeros;Ambos sexos;2021;36.951
33 Asturias;16-64 años;Extranjeros;Hombres;2021;16.886
33 Asturias;16-64 años;Extranjeros;Mujeres;2021;20.065
33 Asturias;16-64 años;% Extranjeros;Ambos sexos;2021;5,89
33 Asturias;16-64 años;% Extranjeros;Hombres;2021;5,43
33 Asturias;16-64 años;% Extranjeros;Mujeres;2021;6,33
33 Asturias;65 y más;TOTAL;Ambos sexos;2021;268.839
33 Asturias;65 y más;TOTAL;Hombres;2021;112.625
33 Asturias;65 y más;TOTAL;Mujeres;2021;156.214
33 Asturias;65 y más;Españoles;Ambos sexos;2021;266.358
33 Asturias;65 y más;Españoles;Hombres;2021;111.584
33 Asturias;65 y más;Españoles;Mujeres;2021;154.774
33 Asturias;65 y más;Extranjeros;Ambos sexos;2021;2.481
33 Asturias;65 y más;Extranjeros;Hombres;2021;1.041
33 Asturias;65 y más;Extranjeros;Mujeres;2021;1.440
33 Asturias;65 y más;% Extranjeros;Ambos sexos;2021;0,92
33 Asturias;65 y más;% Extranjeros;Hombres;2021;0,92
33 Asturias;65 y más;% Extranjeros;Mujeres;2021;0,92
05 Ávila;TOTAL EDADES;TOTAL;Ambos sexos;2021;158.421
05 Ávila;TOTAL EDADES;TOTAL;Hombres;2021;79.562
05 Ávila;TOTAL EDADES;TOTAL;Mujeres;2021;78.859
05 Ávila;TOTAL EDADES;Españoles;Ambos sexos;2021;147.901
05 Ávila;TOTAL EDADES;Españoles;Hombres;2021;74.468
05 Ávila;TOTAL EDADES;Españoles;Mujeres;2021;73.433
05 Ávila;TOTAL EDADES;Extranjeros;Ambos sexos;2021;10.520
05 Ávila;TOTAL EDADES;Extranjeros;Hombres;2021;5.094
05 Ávila;TOTAL EDADES;Extranjeros;Mujeres;2021;5.426
05 Ávila;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;6,64
05 Ávila;TOTAL EDADES;% Extranjeros;Hombres;2021;6,40
05 Ávila;TOTAL EDADES;% Extranjeros;Mujeres;2021;6,88
05 Ávila;0-15 años;TOTAL;Ambos sexos;2021;20.096
05 Ávila;0-15 años;TOTAL;Hombres;2021;10.411
05 Ávila;0-15 años;TOTAL;Mujeres;2021;9.685
05 Ávila;0-15 años;Españoles;Ambos sexos;2021;17.917
05 Ávila;0-15 años;Españoles;Hombres;2021;9.279
05 Ávila;0-15 años;Españoles;Mujeres;2021;8.638
05 Ávila;0-15 años;Extranjeros;Ambos sexos;2021;2.179
05 Ávila;0-15 años;Extranjeros;Hombres;2021;1.132
05 Ávila;0-15 años;Extranjeros;Mujeres;2021;1.047
05 Ávila;0-15 años;% Extranjeros;Ambos sexos;2021;10,84
05 Ávila;0-15 años;% Extranjeros;Hombres;2021;10,87
05 Ávila;0-15 años;% Extranjeros;Mujeres;2021;10,81
05 Ávila;16-64 años;TOTAL;Ambos sexos;2021;97.108
05 Ávila;16-64 años;TOTAL;Hombres;2021;50.043
05 Ávila;16-64 años;TOTAL;Mujeres;2021;47.065
05 Ávila;16-64 años;Españoles;Ambos sexos;2021;89.174
05 Ávila;16-64 años;Españoles;Hombres;2021;46.251
05 Ávila;16-64 años;Españoles;Mujeres;2021;42.923
05 Ávila;16-64 años;Extranjeros;Ambos sexos;2021;7.934
05 Ávila;16-64 años;Extranjeros;Hombres;2021;3.792
05 Ávila;16-64 años;Extranjeros;Mujeres;2021;4.142
05 Ávila;16-64 años;% Extranjeros;Ambos sexos;2021;8,17
05 Ávila;16-64 años;% Extranjeros;Hombres;2021;7,58
05 Ávila;16-64 años;% Extranjeros;Mujeres;2021;8,80
05 Ávila;65 y más;TOTAL;Ambos sexos;2021;41.217
05 Ávila;65 y más;TOTAL;Hombres;2021;19.108
05 Ávila;65 y más;TOTAL;Mujeres;2021;22.109
05 Ávila;65 y más;Españoles;Ambos sexos;2021;40.810
05 Ávila;65 y más;Españoles;Hombres;2021;18.938
05 Ávila;65 y más;Españoles;Mujeres;2021;21.872
05 Ávila;65 y más;Extranjeros;Ambos sexos;2021;407
05 Ávila;65 y más;Extranjeros;Hombres;2021;170
05 Ávila;65 y más;Extranjeros;Mujeres;2021;237
05 Ávila;65 y más;% Extranjeros;Ambos sexos;2021;0,99
05 Ávila;65 y más;% Extranjeros;Hombres;2021;0,89
05 Ávila;65 y más;% Extranjeros;Mujeres;2021;1,07
06 Badajoz;TOTAL EDADES;TOTAL;Ambos sexos;2021;669.943
06 Badajoz;TOTAL EDADES;TOTAL;Hombres;2021;331.025
06 Badajoz;TOTAL EDADES;TOTAL;Mujeres;2021;338.918
06 Badajoz;TOTAL EDADES;Españoles;Ambos sexos;2021;648.660
06 Badajoz;TOTAL EDADES;Españoles;Hombres;2021;320.998
06 Badajoz;TOTAL EDADES;Españoles;Mujeres;2021;327.662
06 Badajoz;TOTAL EDADES;Extranjeros;Ambos sexos;2021;21.283
06 Badajoz;TOTAL EDADES;Extranjeros;Hombres;2021;10.027
06 Badajoz;TOTAL EDADES;Extranjeros;Mujeres;2021;11.256
06 Badajoz;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;3,18
06 Badajoz;TOTAL EDADES;% Extranjeros;Hombres;2021;3,03
06 Badajoz;TOTAL EDADES;% Extranjeros;Mujeres;2021;3,32
06 Badajoz;0-15 años;TOTAL;Ambos sexos;2021;100.046
06 Badajoz;0-15 años;TOTAL;Hombres;2021;51.423
06 Badajoz;0-15 años;TOTAL;Mujeres;2021;48.623
06 Badajoz;0-15 años;Españoles;Ambos sexos;2021;96.577
06 Badajoz;0-15 años;Españoles;Hombres;2021;49.620
06 Badajoz;0-15 años;Españoles;Mujeres;2021;46.957
06 Badajoz;0-15 años;Extranjeros;Ambos sexos;2021;3.469
06 Badajoz;0-15 años;Extranjeros;Hombres;2021;1.803
06 Badajoz;0-15 años;Extranjeros;Mujeres;2021;1.666
06 Badajoz;0-15 años;% Extranjeros;Ambos sexos;2021;3,47
06 Badajoz;0-15 años;% Extranjeros;Hombres;2021;3,51
06 Badajoz;0-15 años;% Extranjeros;Mujeres;2021;3,43
06 Badajoz;16-64 años;TOTAL;Ambos sexos;2021;436.926
06 Badajoz;16-64 años;TOTAL;Hombres;2021;220.992
06 Badajoz;16-64 años;TOTAL;Mujeres;2021;215.934
06 Badajoz;16-64 años;Españoles;Ambos sexos;2021;420.064
06 Badajoz;16-64 años;Españoles;Hombres;2021;213.216
06 Badajoz;16-64 años;Españoles;Mujeres;2021;206.848
06 Badajoz;16-64 años;Extranjeros;Ambos sexos;2021;16.862
06 Badajoz;16-64 años;Extranjeros;Hombres;2021;7.776
06 Badajoz;16-64 años;Extranjeros;Mujeres;2021;9.086
06 Badajoz;16-64 años;% Extranjeros;Ambos sexos;2021;3,86
06 Badajoz;16-64 años;% Extranjeros;Hombres;2021;3,52
06 Badajoz;16-64 años;% Extranjeros;Mujeres;2021;4,21
06 Badajoz;65 y más;TOTAL;Ambos sexos;2021;132.971
06 Badajoz;65 y más;TOTAL;Hombres;2021;58.610
06 Badajoz;65 y más;TOTAL;Mujeres;2021;74.361
06 Badajoz;65 y más;Españoles;Ambos sexos;2021;132.019
06 Badajoz;65 y más;Españoles;Hombres;2021;58.162
06 Badajoz;65 y más;Españoles;Mujeres;2021;73.857
06 Badajoz;65 y más;Extranjeros;Ambos sexos;2021;952
06 Badajoz;65 y más;Extranjeros;Hombres;2021;448
06 Badajoz;65 y más;Extranjeros;Mujeres;2021;504
06 Badajoz;65 y más;% Extranjeros;Ambos sexos;2021;0,72
06 Badajoz;65 y más;% Extranjeros;Hombres;2021;0,76
06 Badajoz;65 y más;% Extranjeros;Mujeres;2021;0,68
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.173.008
07 Balears, Illes;TOTAL EDADES;TOTAL;Hombres;2021;584.853
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2021;588.155
07 Balears, Illes;TOTAL EDADES;Españoles;Ambos sexos;2021;952.711
07 Balears, Illes;TOTAL EDADES;Españoles;Hombres;2021;473.475
07 Balears, Illes;TOTAL EDADES;Españoles;Mujeres;2021;479.236
07 Balears, Illes;TOTAL EDADES;Extranjeros;Ambos sexos;2021;220.297
